# 60x60.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2025.12.28
# S1=107970
# S2=259092010
# S3=699451254000
# S4=2014139779199998

2351,3285,817,1160,597,168,1277,2930,1895,2692,1751,2030,3109,3400,778,2099,2484,3349,1460,605,1632,81,470,1008,1369,1434,2545,895,57,3238,361,3542,2704,1054,2165,2230,2591,3129,3518,1967,2994,2139,250,1115,1500,2821,199,490,1569,1848,907,1704,669,2322,3431,3002,2439,2782,314,1248,
1259,790,2251,1167,1429,3203,1458,2622,2538,1510,534,2835,63,1100,1734,846,2302,456,223,344,1624,2672,2908,264,3437,630,3577,3048,1816,1563,2036,1783,551,22,2969,162,3335,691,927,1975,3255,3376,3143,1297,2753,1865,2499,3536,764,3065,2089,1061,977,2141,396,2170,2432,1348,2809,2340,
2345,1725,1030,3023,520,866,1009,114,1832,2959,3435,2012,1285,3598,3246,1524,3223,3405,2858,2192,1347,2664,254,1679,1081,1470,1169,3127,2797,2934,665,802,472,2430,2129,2518,1920,3345,935,2252,1407,741,194,376,2075,353,1,2314,1587,164,640,1767,3485,2590,2733,3079,576,2569,1874,1254,
2038,233,3474,798,1197,3007,1419,116,2509,1465,1325,3216,457,1684,3567,999,707,1776,613,2670,3351,1245,2718,1665,3286,485,1027,2836,2280,1518,2081,1319,763,2572,3114,313,1934,881,2354,248,929,2986,1823,2892,2600,32,1915,3142,383,2274,2134,1090,3483,2180,592,2402,2801,125,3366,1561,
3268,518,1622,2238,545,2370,2508,1769,1399,1162,1592,3578,2717,1475,276,2884,784,2946,203,1729,2307,1550,3148,3208,942,3439,86,2874,2626,1065,2534,973,725,3513,160,2657,391,451,2049,1292,1870,3396,653,2815,715,3323,2124,882,21,2007,2437,2200,1830,1091,1229,3054,1361,1977,3081,331,
2625,2803,2022,1970,1854,3395,1349,2149,2970,860,3456,2281,3269,2182,3594,1154,3019,439,2489,3212,955,2846,2578,1551,711,494,117,1252,1904,3307,292,1695,2347,3482,3105,2888,2048,1021,753,2644,387,1110,3160,580,2445,5,1417,330,1318,143,2739,629,1450,2250,204,1745,1629,1577,796,974,
1143,2740,279,1495,939,1619,2824,3131,1925,3477,3230,1051,1867,2057,513,3294,3033,2901,232,2776,1276,2511,1846,3560,1221,2232,2213,2999,2594,3502,97,1005,600,1386,1367,2378,39,1753,1088,2323,823,3367,698,566,305,3086,1542,1732,2548,369,122,1674,468,775,1980,2660,2104,3320,859,2456,
78,2264,3592,1529,2100,1072,3326,863,386,3266,3424,1597,2898,751,2420,1393,2585,3175,2983,239,2507,2303,522,1680,2377,819,1793,554,1971,2695,904,1628,3045,1806,2780,1222,1919,3077,1296,1092,3360,616,424,1014,2206,1179,2848,701,2002,175,333,3213,2736,273,2527,1499,2070,7,1335,3521,
1038,1991,3397,417,2734,277,3156,952,2879,533,1951,1089,1166,2293,3533,675,2135,352,979,2235,1525,591,624,2813,3591,3425,1770,1702,2373,1409,2190,1226,1897,1829,174,8,786,2975,3008,2074,1364,2620,3247,1464,2924,66,1306,2433,2510,1648,3066,720,2647,443,3322,865,3182,202,1608,2561,
2080,48,896,2773,294,2904,1300,2015,2275,2167,371,1099,636,155,1181,1974,3026,2873,1444,1706,1016,3258,1826,3524,428,1258,3106,906,3408,1045,2554,191,2693,493,2341,3171,75,1773,341,2583,1893,2155,726,573,1625,2418,3444,2963,2500,3228,1432,1324,1584,2299,695,3305,826,2703,3551,1519,
