# 48x48.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2026.01.24
# S1=70278
# S2=126664382
# S3=256827858768
# S4=555467267610554

1039,1400,16,2178,422,635,449,510,1708,1070,803,181,193,89,716,1334,1965,313,1559,1388,831,2056,1732,1130,1173,571,247,1472,915,744,1990,338,969,1587,2214,2110,2122,1500,1233,595,1793,1854,1668,1881,125,2287,903,1264,
1397,1273,1378,2249,1678,1145,1792,172,2111,1502,542,365,308,1091,1549,1331,119,2021,478,614,1609,41,1481,1916,387,822,2262,694,1689,1825,282,2184,972,754,1212,1995,1938,1761,801,192,2131,511,1158,625,54,925,1030,906,
508,274,1309,215,42,1418,1019,811,455,414,2000,736,1477,1633,154,1622,1193,1103,1757,591,1370,128,48,363,1940,2255,2175,933,1712,546,1200,1110,681,2149,670,826,1567,303,1889,1848,1492,1284,885,2261,2088,994,2029,1795,
1139,1641,1994,1098,1476,1498,201,1413,685,406,553,28,2196,1314,164,518,2020,590,1554,1375,78,1865,1937,1291,1012,366,438,2225,928,749,1713,283,1785,2139,989,107,2275,1750,1897,1618,890,2102,805,827,1205,309,662,1164,
1966,1162,1969,1850,1035,1556,1325,389,2258,1366,1434,580,569,820,266,2205,513,2244,190,710,661,2103,1095,1496,807,1208,200,1642,1593,2113,59,1790,98,2037,1483,1734,1723,869,937,45,1914,978,747,1268,453,334,1141,337,
1685,1909,997,2028,1450,2250,867,1661,769,1043,2,360,375,469,2014,1138,495,1061,1925,342,2234,1301,428,1123,1180,1875,1002,69,1961,378,1242,1808,1165,289,1834,1928,1943,2301,1260,1534,642,1436,53,853,275,1306,394,618,
783,905,211,1478,1992,487,1620,1033,2161,1833,1221,7,87,1198,1963,243,1667,1562,622,1362,423,1737,1308,2138,165,995,566,1880,941,1681,741,636,2060,340,1105,2216,2296,1082,470,142,1270,683,1816,311,825,2092,1398,1520,
1285,705,2240,525,1724,1360,2174,974,1572,147,2011,680,1203,2074,1088,1773,1543,2206,1357,426,854,476,385,143,2160,1918,1827,1449,1877,946,97,760,530,1215,229,1100,1623,292,2156,731,1329,129,943,579,1778,63,1598,1018,
1956,2126,1182,824,1975,224,104,1003,564,1913,676,868,36,1862,64,1701,748,1497,1217,1777,1648,951,1275,252,2051,1028,1352,655,526,1086,806,1555,602,2239,441,2267,1435,1627,390,1739,1300,2199,2079,328,1479,1121,177,347,
1222,410,2128,2045,1256,343,1157,870,860,955,2252,1006,1818,2278,570,1968,1682,672,721,231,776,652,440,2177,126,1863,1651,1527,2072,1582,1631,621,335,1733,25,485,1297,51,1348,1443,1433,1146,1960,1047,258,175,1893,1081,
1973,384,1951,936,634,227,2061,1155,1728,706,464,775,1683,1578,1332,180,3,1458,1060,127,484,1274,83,1393,910,2220,1029,1819,2176,1243,845,2300,2123,971,725,620,1528,1839,1597,575,1148,242,2076,1669,1367,352,1919,330,
2217,2016,1487,1020,150,763,866,105,931,11,677,349,1304,326,1764,663,2071,1805,1847,617,778,409,1117,1204,1099,1186,1894,1525,1686,456,498,232,1640,539,1977,999,1954,1626,2292,1372,2198,1437,1540,2153,1283,816,287,86,
1637,2280,501,1753,382,1293,1596,293,576,108,1234,184,1439,1506,1359,1181,836,1861,2094,2227,2048,1318,756,1876,427,1547,985,255,76,209,442,1467,1122,944,797,864,2119,1069,2195,1727,2010,707,1010,1921,550,1802,23,666,
270,1133,624,2152,2284,268,497,1976,1076,1539,528,1505,1438,195,1021,1488,1617,1860,1714,1392,1628,2208,124,835,1468,2179,95,675,911,589,443,686,815,1282,2108,865,798,1775,764,1227,327,1806,2035,19,151,1679,1170,2033,
2115,560,855,1280,1396,1516,208,2073,331,606,1663,1856,1738,1643,2137,251,1557,481,2271,1358,2256,1320,1196,1365,938,1107,983,47,945,32,1822,746,2052,166,660,565,447,640,1697,1972,230,2095,787,907,1023,1448,1743,188,
1399,357,395,519,540,2163,1855,2140,863,1980,646,2087,2290,599,745,1241,916,65,963,1052,689,1111,788,2034,269,1515,1192,1614,1251,1340,2238,1387,1062,1558,1704,13,216,1657,323,1440,163,448,140,1763,1784,1908,1946,904,
